               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079135,            0.023197,            0.091309,            0.019831,             0.26647,            0.020896,            0.010947,            0.045017,            0.012632,            0.087284,             0.00147,             0.00147,             0.08677
                   1,            0.046426,            0.018728,            0.085529,             0.02179,              0.2944,            0.025361,            0.014452,            0.037771,           0.0093455,            0.084353,           0.0029493,           0.0029493,            0.073449
                   2,            0.046115,            0.016745,             0.08405,            0.020941,             0.41826,            0.025664,            0.015196,            0.034865,           0.0087857,            0.083064,           0.0044261,           0.0044261,            0.060126
                   3,            0.041382,            0.015438,            0.083349,            0.023151,             0.27831,            0.026765,            0.015036,            0.035953,           0.0085125,            0.082554,           0.0058982,           0.0058982,            0.046798
                   4,            0.039648,            0.014778,            0.082458,            0.024386,             0.30819,            0.028074,            0.018477,            0.031459,           0.0081191,            0.082186,           0.0073638,           0.0073638,            0.033464
                   5,            0.038425,            0.014917,            0.081916,             0.16985,             0.16311,            0.032607,            0.020306,            0.034062,           0.0089446,            0.081346,           0.0088209,           0.0088209,            0.020121
                   6,            0.041087,            0.014912,            0.081428,            0.030074,             0.16936,            0.031043,             0.01863,            0.036282,           0.0087713,            0.080781,           0.0099203,           0.0099203,           0.0099203
                   7,            0.040175,            0.015143,            0.080594,            0.087725,             0.16313,            0.032018,            0.019726,            0.037984,           0.0091834,            0.080528,           0.0099203,           0.0099203,           0.0099203
                   8,            0.038454,            0.015178,            0.079529,            0.033752,             0.29056,            0.042964,            0.026441,            0.033235,           0.0086396,            0.078489,           0.0098916,           0.0098916,           0.0098916
                   9,            0.037099,             0.01489,            0.078101,            0.055484,             0.23171,            0.056882,            0.035481,            0.031834,           0.0082369,            0.076803,           0.0098586,           0.0098586,           0.0098586
                  10,            0.036192,            0.014541,            0.076936,            0.077727,             0.23453,            0.055393,            0.033614,             0.03145,            0.008518,            0.075753,           0.0098213,           0.0098213,           0.0098213
                  11,            0.035575,            0.014456,            0.075948,             0.27695,             0.18593,            0.067581,             0.04148,            0.031248,           0.0085453,            0.076198,           0.0097798,           0.0097798,           0.0097798
                  12,            0.034622,             0.01444,            0.074696,            0.047951,             0.35907,            0.071103,            0.045415,            0.031237,           0.0079973,            0.074583,            0.009734,            0.009734,            0.009734
                  13,            0.034386,            0.014009,            0.074138,              0.1136,             0.27598,            0.073673,             0.04715,            0.032411,           0.0080607,            0.074128,            0.009684,            0.009684,            0.009684
                  14,            0.034304,            0.014238,            0.073484,              0.1271,             0.25349,            0.086182,            0.058416,             0.02942,           0.0078751,            0.072125,           0.0096299,           0.0096299,           0.0096299
                  15,            0.033812,            0.014069,            0.071904,            0.097992,             0.24821,            0.086659,            0.055959,            0.031751,           0.0081834,            0.072441,           0.0095717,           0.0095717,           0.0095717
                  16,            0.033564,            0.014023,            0.071376,              0.1072,              0.3047,            0.093317,            0.060136,            0.029919,           0.0079859,            0.070893,           0.0095095,           0.0095095,           0.0095095
                  17,            0.033053,            0.013957,            0.069858,             0.18975,             0.23998,             0.10432,            0.068917,            0.030138,           0.0078382,            0.070386,           0.0094434,           0.0094434,           0.0094434
                  18,            0.032936,             0.01379,            0.069623,             0.11574,             0.29841,             0.10043,            0.067793,            0.029056,           0.0079431,            0.070288,           0.0093733,           0.0093733,           0.0093733
                  19,            0.032233,            0.013663,            0.069219,             0.15032,             0.29902,             0.10997,            0.075538,            0.028911,           0.0078727,             0.06913,           0.0092995,           0.0092995,           0.0092995
                  20,            0.032487,            0.013862,             0.06837,             0.20339,             0.25177,             0.12066,            0.081214,            0.029793,            0.007925,            0.067502,           0.0092219,           0.0092219,           0.0092219
                  21,            0.031562,            0.013807,            0.067216,             0.18133,             0.28776,             0.12931,            0.087996,            0.027268,           0.0076703,            0.066644,           0.0091406,           0.0091406,           0.0091406
                  22,             0.03177,            0.013333,             0.06598,             0.36139,             0.22087,             0.14647,             0.10048,            0.027066,           0.0075949,            0.066191,           0.0090557,           0.0090557,           0.0090557
                  23,            0.031365,            0.013431,            0.065476,             0.22072,             0.27825,             0.15139,              0.1008,             0.02819,           0.0077297,            0.065085,           0.0089673,           0.0089673,           0.0089673
                  24,            0.031339,            0.013487,            0.064113,             0.27816,              0.2386,             0.14881,              0.1013,            0.027787,           0.0077371,            0.066585,           0.0088755,           0.0088755,           0.0088755
                  25,            0.031154,            0.013444,            0.064339,             0.33428,              0.2766,              0.1694,             0.11576,            0.027203,           0.0075449,             0.06426,           0.0087804,           0.0087804,           0.0087804
                  26,            0.031296,            0.013321,            0.063277,             0.30558,             0.26723,             0.16423,             0.11381,            0.027183,            0.007693,             0.06431,            0.008682,            0.008682,            0.008682
                  27,            0.031017,            0.013446,            0.062472,             0.29284,             0.27994,              0.1582,             0.10883,            0.028981,           0.0080759,            0.067072,           0.0085805,           0.0085805,           0.0085805
                  28,            0.030797,            0.013319,            0.061454,             0.28393,             0.31299,             0.19446,             0.13248,            0.026402,           0.0076469,            0.061328,           0.0084759,           0.0084759,           0.0084759
                  29,            0.030358,            0.013329,            0.059846,             0.28086,             0.32229,             0.19135,             0.13371,            0.027051,           0.0077478,            0.061842,           0.0083684,           0.0083684,           0.0083684
                  30,            0.029943,            0.013502,            0.059708,             0.33604,             0.30476,             0.21191,             0.15037,            0.025883,            0.007516,            0.060567,           0.0082581,           0.0082581,           0.0082581
                  31,            0.030931,            0.013155,            0.059434,             0.38249,             0.26919,              0.2179,             0.15587,            0.025973,           0.0073434,            0.060015,            0.008145,            0.008145,            0.008145
                  32,            0.030582,            0.013227,            0.058122,             0.41851,             0.23712,             0.20606,             0.14428,            0.026563,           0.0077138,            0.061323,           0.0080294,           0.0080294,           0.0080294
                  33,            0.030265,            0.013155,            0.057557,             0.37492,             0.29343,             0.21916,             0.15634,            0.025015,           0.0075035,            0.060199,           0.0079112,           0.0079112,           0.0079112
                  34,            0.030205,            0.013127,            0.056975,             0.36318,             0.33779,             0.23939,             0.17329,            0.026353,           0.0073127,            0.059429,           0.0077907,           0.0077907,           0.0077907
                  35,            0.029812,            0.012996,            0.055397,             0.34996,              0.3254,             0.23131,             0.16549,            0.025293,           0.0073049,            0.059102,           0.0076679,           0.0076679,           0.0076679
                  36,            0.029729,            0.012942,            0.054836,             0.27226,             0.37949,             0.23786,             0.16651,            0.026752,           0.0074277,            0.058142,            0.007543,            0.007543,            0.007543
                  37,            0.029482,            0.013087,            0.054466,             0.39005,             0.31417,             0.23318,             0.16944,            0.026159,            0.007551,            0.059397,            0.007416,            0.007416,            0.007416
                  38,             0.02946,            0.012592,            0.052643,             0.43571,             0.29799,             0.26869,             0.19208,            0.025548,           0.0074261,            0.056986,           0.0072872,           0.0072872,           0.0072872
                  39,            0.029637,            0.012919,            0.053589,              0.3764,             0.31634,             0.26128,             0.18704,            0.026058,           0.0075428,            0.057711,           0.0071566,           0.0071566,           0.0071566
                  40,            0.029299,            0.012697,            0.052963,             0.37754,             0.34155,             0.26707,             0.18966,            0.025847,           0.0073522,             0.05682,           0.0070243,           0.0070243,           0.0070243
                  41,            0.029152,            0.012835,            0.051489,             0.28758,             0.38893,             0.26938,             0.19506,             0.02576,           0.0074136,            0.055977,           0.0068906,           0.0068906,           0.0068906
                  42,            0.029008,            0.012523,            0.050355,             0.48991,             0.29496,             0.29118,             0.21167,            0.026129,           0.0073731,            0.055181,           0.0067555,           0.0067555,           0.0067555
                  43,            0.028871,            0.012614,             0.05033,             0.31943,             0.40641,             0.29238,             0.21421,            0.025464,           0.0073709,            0.055164,           0.0066191,           0.0066191,           0.0066191
                  44,            0.028923,            0.012643,            0.050367,              0.3366,             0.36049,             0.28414,             0.20624,            0.025752,           0.0072947,             0.05667,           0.0064816,           0.0064816,           0.0064816
                  45,            0.028669,            0.012768,            0.047755,             0.37806,             0.37148,             0.28576,             0.20945,            0.025131,           0.0073744,            0.056111,           0.0063432,           0.0063432,           0.0063432
                  46,            0.028756,             0.01254,            0.048472,             0.45716,             0.36337,             0.30631,             0.22618,            0.025239,           0.0073476,            0.055089,            0.006204,            0.006204,            0.006204
                  47,            0.028651,            0.012156,            0.046438,             0.41701,             0.33737,             0.30835,             0.22712,            0.025116,           0.0075467,            0.054839,            0.006064,            0.006064,            0.006064
                  48,            0.028276,            0.012648,            0.046226,             0.44751,             0.37344,             0.32708,             0.23485,            0.025513,           0.0073261,            0.053415,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028744,            0.012355,            0.045596,             0.40968,              0.3875,             0.33608,             0.24845,            0.024383,           0.0072468,            0.053288,           0.0057826,           0.0057826,           0.0057826
                  50,            0.027902,            0.012412,             0.04487,             0.42437,             0.35076,             0.31528,             0.23365,            0.024297,            0.011541,            0.053509,           0.0056413,           0.0056413,           0.0056413
                  51,            0.027396,            0.012426,            0.044402,             0.39045,             0.38696,             0.33958,             0.25757,            0.023263,           0.0072639,            0.052545,              0.0055,              0.0055,              0.0055
                  52,            0.027894,            0.012207,            0.043338,              0.3866,             0.39656,             0.35771,             0.26416,            0.023612,           0.0071783,            0.051536,           0.0053587,           0.0053587,           0.0053587
                  53,            0.027715,            0.012226,            0.042621,             0.32499,              0.4256,             0.34639,             0.25859,            0.024287,            0.007288,             0.05208,           0.0052174,           0.0052174,           0.0052174
                  54,            0.027593,            0.012165,            0.042079,             0.53463,             0.35532,             0.34991,              0.2648,             0.02358,           0.0071962,            0.051802,           0.0050765,           0.0050765,           0.0050765
                  55,            0.027176,            0.012169,            0.041334,              0.3319,             0.44543,             0.36081,             0.27127,            0.023899,           0.0072242,            0.051479,            0.004936,            0.004936,            0.004936
                  56,            0.027174,            0.011992,            0.040075,             0.35376,             0.42936,             0.37524,             0.28367,            0.023595,           0.0072638,            0.052965,            0.004796,            0.004796,            0.004796
                  57,            0.027383,            0.011798,            0.039341,             0.51237,             0.33769,             0.36457,             0.27979,            0.024335,           0.0071487,            0.053101,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027216,            0.012016,            0.039121,              0.3998,             0.40957,             0.36319,             0.27321,            0.024085,           0.0072561,            0.052344,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027016,            0.011845,            0.038433,             0.48164,              0.3775,             0.37351,             0.27918,            0.024538,           0.0074032,            0.052053,           0.0043809,           0.0043809,           0.0043809
                  60,            0.026578,             0.01164,            0.037372,             0.37711,              0.3996,             0.36748,             0.27713,             0.02425,           0.0073331,             0.05176,           0.0042445,           0.0042445,           0.0042445
                  61,            0.026214,            0.011723,            0.036326,             0.37125,             0.41798,             0.37427,             0.28379,             0.02318,           0.0071774,            0.051412,           0.0041094,           0.0041094,           0.0041094
                  62,            0.026419,            0.011629,            0.036539,             0.40759,             0.42998,             0.39423,             0.29804,            0.022644,           0.0071275,             0.05012,           0.0039757,           0.0039757,           0.0039757
                  63,            0.026483,            0.011599,            0.036183,             0.37194,             0.47055,             0.38965,             0.29859,            0.023383,           0.0073787,            0.052079,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026104,            0.011851,            0.034963,             0.39836,             0.43892,             0.38887,             0.29494,            0.022545,           0.0071636,            0.048874,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025789,            0.011603,            0.033846,             0.38122,             0.47539,             0.40631,             0.31375,            0.022585,           0.0070971,            0.049587,            0.003584,            0.003584,            0.003584
                  66,            0.025683,            0.011543,            0.033269,             0.39759,             0.46625,             0.41124,             0.31656,            0.022784,           0.0071712,             0.04982,            0.003457,            0.003457,            0.003457
                  67,            0.025876,            0.011257,            0.032477,             0.41523,             0.44671,               0.411,             0.31757,            0.022559,           0.0072629,            0.049431,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025254,             0.01156,            0.031953,             0.36453,             0.52809,              0.4226,             0.32719,            0.022415,           0.0072764,            0.048343,           0.0032093,           0.0032093,           0.0032093
                  69,            0.025508,            0.011275,            0.031922,             0.40119,             0.47109,             0.40287,             0.31196,            0.022464,           0.0072377,            0.049353,           0.0030888,           0.0030888,           0.0030888
                  70,            0.025097,            0.011198,            0.030582,             0.42374,             0.45867,             0.42444,              0.3295,            0.022447,           0.0072136,            0.048633,           0.0029706,           0.0029706,           0.0029706
                  71,             0.02465,            0.011139,            0.030324,             0.43921,             0.45339,              0.4282,             0.33155,            0.022126,           0.0072375,            0.048059,            0.002855,            0.002855,            0.002855
                  72,            0.025002,            0.011193,            0.029766,             0.38805,              0.4902,             0.41257,             0.32057,             0.02242,           0.0071745,            0.049215,           0.0027419,           0.0027419,           0.0027419
                  73,            0.024731,            0.011018,             0.02886,             0.44293,             0.44665,             0.42335,             0.32703,            0.021953,           0.0073741,            0.049206,           0.0026316,           0.0026316,           0.0026316
                  74,             0.02457,            0.010959,            0.026827,             0.41744,             0.46995,             0.42855,             0.33428,            0.022197,           0.0072494,            0.048435,           0.0025241,           0.0025241,           0.0025241
                  75,            0.023956,            0.011063,            0.027331,             0.44155,             0.45039,             0.43084,             0.33856,             0.02189,           0.0071738,             0.04818,           0.0024195,           0.0024195,           0.0024195
                  76,            0.024142,            0.010917,             0.02659,             0.42707,             0.47883,             0.44029,             0.34798,            0.021861,            0.007286,             0.04879,            0.002318,            0.002318,            0.002318
                  77,             0.02327,            0.010812,            0.025748,             0.43873,             0.47655,             0.43921,             0.34851,            0.021541,            0.007292,            0.048293,           0.0022196,           0.0022196,           0.0022196
                  78,            0.023285,            0.010715,            0.025506,             0.46335,             0.45104,             0.43818,             0.34861,            0.021625,           0.0073581,            0.049391,           0.0021245,           0.0021245,           0.0021245
                  79,            0.023191,            0.010837,            0.024806,             0.42814,             0.50034,             0.45186,               0.356,            0.021208,            0.007171,            0.047818,           0.0020327,           0.0020327,           0.0020327
                  80,            0.023032,            0.010779,            0.025119,             0.42954,             0.49795,             0.45133,             0.35777,            0.021247,           0.0073391,            0.048183,           0.0019443,           0.0019443,           0.0019443
                  81,            0.022831,            0.010673,            0.023657,             0.43231,             0.48542,             0.44928,             0.35739,            0.021213,           0.0072471,             0.04892,           0.0018594,           0.0018594,           0.0018594
                  82,            0.023354,            0.010635,            0.023476,             0.45473,             0.48954,             0.45106,              0.3564,            0.021024,           0.0073216,            0.048177,           0.0017781,           0.0017781,           0.0017781
                  83,            0.022564,            0.010779,            0.023667,             0.44681,              0.4802,             0.45377,             0.35886,            0.021314,           0.0073026,            0.047505,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02255,            0.010528,            0.023058,             0.46205,             0.47056,             0.45664,             0.36603,            0.021207,           0.0072381,            0.048231,           0.0016267,           0.0016267,           0.0016267
                  85,             0.02285,            0.010595,            0.022387,             0.43523,             0.50789,             0.46357,             0.37036,            0.021106,           0.0073554,            0.048953,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022241,            0.010244,            0.022262,             0.44466,             0.50834,             0.47203,             0.37744,            0.020693,           0.0073406,            0.047824,           0.0014905,           0.0014905,           0.0014905
                  87,            0.022061,            0.010492,            0.021449,             0.47385,             0.48206,             0.46699,             0.37445,            0.020805,            0.007487,            0.048171,           0.0014283,           0.0014283,           0.0014283
                  88,            0.021707,            0.010107,            0.021079,             0.51745,             0.43972,             0.46282,             0.37356,            0.021048,           0.0074639,            0.048671,           0.0013701,           0.0013701,           0.0013701
                  89,            0.022159,            0.010341,            0.021017,             0.43304,             0.52787,             0.46848,             0.37278,            0.020848,           0.0073805,            0.047582,            0.001316,            0.001316,            0.001316
                  90,            0.021759,            0.010027,             0.02071,             0.45715,             0.49998,             0.46679,             0.36995,            0.020633,           0.0075938,             0.04868,            0.001266,            0.001266,            0.001266
                  91,            0.021535,            0.010187,            0.020473,             0.48246,             0.50156,             0.47261,             0.37751,            0.020387,           0.0074132,            0.048836,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021394,            0.010327,            0.020327,             0.51637,             0.47361,             0.47946,             0.38139,            0.020716,           0.0073877,            0.048718,           0.0011787,           0.0011787,           0.0011787
                  93,            0.021294,            0.010063,            0.019747,             0.48517,             0.49905,             0.47332,             0.37924,            0.020707,            0.007533,            0.048174,           0.0011414,           0.0011414,           0.0011414
                  94,            0.021074,            0.010085,            0.018373,             0.49928,             0.49495,             0.47231,             0.37968,            0.020412,           0.0073499,            0.048566,           0.0011084,           0.0011084,           0.0011084
                  95,            0.021336,            0.009982,            0.019358,             0.49665,             0.49439,             0.48176,             0.38803,            0.020501,           0.0074711,             0.04926,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021008,              0.0101,            0.018422,             0.52593,             0.47968,             0.48702,             0.38952,            0.020416,           0.0075011,            0.048382,           0.0010554,           0.0010554,           0.0010554
                  97,            0.021088,           0.0097928,              0.0189,             0.49078,             0.50435,             0.47686,             0.38477,            0.020465,           0.0076104,            0.048583,           0.0010355,           0.0010355,           0.0010355
                  98,             0.02078,            0.009997,            0.018017,             0.48849,             0.50631,             0.48089,             0.38762,            0.020572,           0.0076373,            0.048237,             0.00102,             0.00102,             0.00102
                  99,            0.020946,           0.0097789,            0.017924,             0.47689,             0.50783,             0.47381,             0.38552,            0.020272,            0.007597,            0.048658,           0.0010089,           0.0010089,           0.0010089
